date,tweet
2011-12-01,2
2011-12-03,3
2011-12-21,8
2011-12-22,2
2011-12-23,3
2011-12-25,1
2011-12-26,5
2011-12-27,1
2011-12-28,1
2011-12-29,10
2011-12-30,3
2011-12-31,3
2012-01-01,7
2012-01-03,3
2012-01-06,3
2012-01-10,1
2012-01-11,1
2012-01-12,3
2012-01-14,2
2012-01-17,4
2012-01-21,1
2012-01-22,1
2012-01-23,3
2012-01-27,2
2012-01-28,1
2012-01-31,1
2012-02-01,2
2012-02-02,1
2012-02-03,1
2012-02-04,1
2012-02-05,3
2012-02-07,3
2012-02-08,1
2012-02-09,2
2012-02-10,4
2012-02-12,1
2012-02-13,1
2012-02-16,1
2012-02-21,2
2012-02-25,3
2012-02-28,1
2012-02-29,1
2012-03-01,1
2012-03-06,1
2012-03-11,2
2012-03-12,1
2012-03-13,1
2012-03-14,2
2012-03-15,1
2012-03-20,1
2012-03-22,1
2012-03-27,1
2012-03-31,2
2012-04-01,1
2012-04-03,3
2012-04-05,2
2012-04-08,2
2012-04-09,1
2012-04-10,1
2012-04-14,1
2012-04-18,1
2012-04-19,2
2012-04-21,2
2012-04-22,1
2012-04-23,1
2012-04-24,1
2012-04-30,4
2012-05-03,3
2012-05-04,2
2012-05-08,1
2012-05-09,1
2012-05-10,4
2012-05-13,1
2012-05-19,2
2012-05-20,2
2012-05-21,1
2012-05-22,8
2012-05-23,2
2012-05-24,3
2012-05-25,2
2012-05-31,4
2012-06-05,1
2012-06-14,2
2012-06-16,1
2012-06-18,2
2012-06-20,1
2012-06-22,2
2012-06-27,3
2012-06-28,1
2012-06-29,1
2012-06-30,2
2012-07-05,2
2012-07-07,1
2012-07-12,2
2012-07-14,1
2012-07-15,2
2012-07-17,1
2012-07-21,3
2012-07-23,2
2012-07-26,5
2012-07-27,2
2012-07-30,1
2012-07-31,8
2012-08-02,1
2012-08-03,3
2012-08-13,1
2012-08-22,2
2012-08-25,1
2012-08-27,3
2012-08-28,1
2012-08-29,1
2012-09-06,1
2012-09-13,2
2012-09-16,1
2012-09-19,1
2012-09-21,1
2012-09-24,2
2012-09-30,1
2012-10-01,2
2012-10-02,2
2012-10-03,1
2012-10-07,2
2012-10-11,1
2012-10-22,1
2012-10-27,3
2012-10-28,2
2012-11-03,2
2012-11-06,1
2012-11-07,1
2012-11-12,2
2012-11-15,2
2012-11-19,1
2012-11-20,7
2012-11-22,3
2012-11-23,2
2012-11-24,1
2012-11-27,4
2012-11-29,1
2012-12-02,1
2012-12-03,1
2012-12-04,1
2012-12-09,2
2012-12-10,1
2012-12-12,7
2012-12-14,5
2012-12-17,1
2012-12-18,1
2012-12-19,1
2012-12-23,4
2012-12-25,2
2012-12-29,2
2013-01-03,1
2013-01-04,1
2013-01-10,2
2013-01-15,1
2013-01-18,1
2013-01-26,1
2013-01-29,1
2013-02-03,2
2013-02-04,1
2013-02-08,3
